artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
drkmnd,Satellite Nights,Pluto,1cYzJoQFVYdSuO68TFJn5b,0.912,0.486,0.166,8,-13.164,0,0.167,0.884,0.124,0.349,77.942,162883,1
DLJ,Night Emotions,Further,0mlbXB8AukvaQxhatnWjOc,0.222,0.379,0.259,10,-16.195,0,0.0489,0.772,0.107,0.244,84.38,141724,4
Various Artists,3 Am. Study Session,Feelings,6PwqzlixMvCOf6ynmIskNE,0.972,0.421,0.119,9,-16.026,0,0.053,0.963,0.315,0.323,82.688,150000,1
Various Artists,3 Am. Study Session,Persist,2tlTobsk54AIrCNPVOXDlC,0.808,0.506,0.262,6,-11.42,1,0.0324,0.774,0.101,0.265,85.427,184851,5
goosetaf,Perpetual,Perpetual,5LJGqkJSkNhmPARzY49irJ,0.971,0.735,0.249,5,-11.778,1,0.0594,0.933,0.083,0.0898,74.984,184000,4
amies,Solitude,Not the Same,3a5qCOw1wp0uo4ulJSn5tz,0.538,0.689,0.252,10,-14.077,1,0.0629,0.856,0.112,0.148,148.042,174000,4
Various Artists,3 Am. Study Session,Blind Forest,55SD2p3Ky4DU13ZgwyBnUy,0.102,0.657,0.217,4,-10.931,0,0.0904,0.563,0.114,0.158,70.023,174857,4
dryhope,Kenopsia,Higher State,63zwJSVdMyEkOfHzAOFGG6,0.638,0.664,0.213,5,-11.19,0,0.0438,0.917,0.129,0.36,80.83,145926,4
Various Artists,2 Am. Study Session,Puddles,0THqQwTN5VOP11VLn71nDq,0.184,0.547,0.0428,6,-13.328,1,0.196,0.843,0.0975,0.598,213.919,103117,3
TABAL,Inside Space,Menthol Breathing,5jOC0QKOCl2ECZSy8DiVkC,0.43,0.542,0.283,2,-13.925,1,0.0448,0.903,0.116,0.0391,79.753,140984,4
Various Artists,2 Am. Study Session,Stars and Chimneys,5dk5cnYb1Wr8BQXIBdHWYF,0.822,0.382,0.338,6,-13.341,1,0.0407,0.756,0.0776,0.062,85.563,185805,4
xander.,Cabin Fever,Morning Time,6sGE9r83agF1idLK6vjMR5,0.363,0.593,0.418,6,-11.927,1,0.0677,0.942,0.131,0.0814,149.877,179200,4
Various Artists,3 Am. Study Session,After Sunset,2iSRdZZpV8NhJOLaLdaoSD,0.877,0.682,0.105,5,-16.983,1,0.0337,0.884,0.0896,0.258,124.027,160645,4
Flitz&Suppe,Yokai,Sea of Trees,1V08nMg7Hh9Tt4MjGSAZfD,0.742,0.729,0.234,2,-11.51,0,0.0718,0.888,0.1,0.587,71.998,133333,4
softy,Sometimes I Wait for You,Stray,5E0s8MtKLu0Fra2qfLY0jP,0.897,0.692,0.488,0,-7.939,0,0.0335,0.857,0.116,0.15,78.013,154231,4
less.people,Online Mall Music,Enough to Go Around,0g2cKbRSGDlhfbrVWOhvwG,0.579,0.642,0.263,6,-14.562,0,0.422,0.447,0.0597,0.271,74.172,155676,4
Kanisan,A Way of Existing,Lost,2gIJkf741uNiE1mnHKmioQ,0.843,0.513,0.306,5,-12.959,0,0.0475,0.753,0.12,0.0648,79.728,147008,4
Kupla,Life Forms,Mycelium,4NCSlXGe1H6h7oUmdca6Wh,0.368,0.602,0.557,4,-8.154,0,0.302,0.637,0.127,0.147,78.98,176457,4
softy,Sometimes I Wait for You,Before the Rain Comes,7oCoiYsp77vdEvMn89vMex,0.975,0.734,0.217,7,-12.801,1,0.0323,0.185,0.382,0.119,116.082,256552,4
Kupla,Life Forms,Soft to Touch,1CwWVm2gI2vlsTtL3UCPTK,0.77,0.601,0.276,10,-13.209,1,0.0694,0.147,0.141,0.221,82.986,169691,4
Yasumu,Way of Life,Waking Up,3HjQD6SPtZ7x7FgXjl9iul,0.409,0.752,0.0914,11,-15.862,0,0.489,0.852,0.338,0.346,174.199,150172,4
brillion.,Bedtime Stories Pt. 2,In Clover,5Tw5Wvgjwd2xN8jQrUpqUu,0.919,0.646,0.199,6,-16.801,1,0.0574,0.924,0.0976,0.0556,153.932,165195,4
brillion.,Bedtime Stories Pt. 2,When the Sun Goes Down,0aehdLkMY8nYrTGrncpDnY,0.856,0.542,0.329,7,-13.541,1,0.0299,0.852,0.236,0.0596,74.994,230400,4
Sitting Duck,Wonderland Chapter 1,The Unknown,4KCngtolbDyG33spgGZ59C,0.889,0.68,0.0942,11,-18.346,1,0.0542,0.823,0.102,0.177,80.034,144250,4
tysu,Window Seat,Dusk,04KZdZ27dbioaNBNsHidhh,0.907,0.765,0.0763,10,-13.877,1,0.0682,0.888,0.105,0.327,120.014,144031,4
brillion.,Bedtime Stories Pt. 2,Eventide,7eBIzl4j9y8Kr5IHJbZTKj,0.485,0.288,0.499,8,-13.952,1,0.0683,0.914,0.0886,0.0361,75.904,186316,4
Various Artists,Lazy Sunday,Astral Walker,65NWuFWlVinwQfdZ4Klatk,0.834,0.562,0.239,0,-13.987,0,0.0472,0.808,0.393,0.114,60.008,175854,4
Various Artists,3 Am. Study Session,Fireflies,3R842HhIJd4VysNmcRApE0,0.809,0.651,0.125,5,-20.281,0,0.0309,0.925,0.112,0.0371,78.015,123077,4
xander.,Cabin Fever,Don't Let Her Go,7L4VP4XPNO9fL0ZTDENxNr,0.523,0.476,0.242,10,-14.823,0,0.113,0.797,0.0957,0.327,83.958,167442,4
WYS,North Pole,Shield,2fKZobZeEVIT0XqGtGESX5,0.466,0.398,0.265,8,-18.505,1,0.0337,0.897,0.106,0.0337,180.2,170018,4
Mila Coolness,Silent River,Silent River,422HHhVoCh2n5hAU7l6JID,0.859,0.601,0.0725,6,-18.997,0,0.0291,0.938,0.0889,0.0711,83.997,168571,4
Ajmw,Heading Home,Clouds,3d3q6jk3X6EfGrddvqf3vH,0.957,0.661,0.169,0,-13.048,1,0.0773,0.898,0.068,0.26,62.988,160000,4
Nothingtosay,Introspective,Far Away,05FVfijKq0kvZyZdsYnYuG,0.806,0.682,0.107,2,-18.042,1,0.0608,0.935,0.0925,0.0685,83.982,168579,4
tysu,Window Seat,Staying In,6vXZ2dU299a5ET211rfXZ5,0.77,0.681,0.0631,9,-15.547,1,0.0385,0.906,0.0979,0.317,67.987,141278,4
Various Artists,Lazy Sunday,Garnet,6J6AcCykqppeduEanL2222,0.881,0.662,0.429,11,-9.376,1,0.0783,0.872,0.07,0.685,76.995,149610,4
dryhope,Contrasts,Shade,6K3QDugc6Z34j84cz24ZDW,0.674,0.631,0.125,4,-13.734,0,0.219,0.761,0.107,0.191,159.951,133634,4
Various Artists,3 Am. Study Session,Escape Route,1rfRJ3JViXW1VCU6fnFrHH,0.723,0.533,0.217,8,-16.361,1,0.039,0.913,0.0901,0.0476,145.773,138082,4
Dontcry,Odyssey,Cosmos,65ija1Fx0j053dmfhejrJr,0.237,0.705,0.251,11,-11.029,0,0.0901,0.793,0.141,0.206,88.009,113594,4
No Spirit,Memories We Made,Waiting For The Sun,3nd8ZQCmJa2sX5afLIQqwv,0.889,0.656,0.31,11,-10.341,1,0.0394,0.921,0.328,0.115,81.012,120741,4
Pandrezz,Relief,Just Hold On,16g7hMowb4LifbaGdDFbv0,0.759,0.422,0.25,0,-18.985,1,0.0814,0.643,0.353,0.302,82.276,145714,4
TABAL,Inside Space,An Unknown Journey,0iXKeIzH0vQWpHu87u0VbO,0.798,0.57,0.14,9,-17.112,0,0.0903,0.954,0.116,0.239,168.079,142857,4
Sitting Duck,Wonderland Chapter 1,Wonderland,15FrElYzJqHtrCv5S3ZMdu,0.789,0.668,0.0891,11,-18.272,1,0.0433,0.923,0.0988,0.231,129.963,172000,4
Chris Mazuera,Dozing,Distant,0flbZnIoq0Z84zukPp47b6,0.927,0.581,0.356,2,-8.118,0,0.0362,0.939,0.0716,0.487,142.494,118310,4
Blue Wednesday,Discovery,Driftwood,1wTH9jr1URBdb8UxnXizWR,0.894,0.644,0.223,4,-22.933,1,0.144,0.877,0.0691,0.088,85.55,189649,4
Kupla,Life Forms,Natural Ways,7I72CFQKO0zlEY1wp2Z7ID,0.64,0.502,0.516,9,-8.533,0,0.0395,0.908,0.19,0.149,81.984,171024,4
tysu,Window Seat,Breeze,3roP0Fue742XAo1pDunOyl,0.794,0.845,0.185,6,-19.958,0,0.0623,0.916,0.0914,0.233,120.003,160000,4
tysu,Window Seat,Letting Go,6aQd1CBPY0GhLto4tjdeDp,0.908,0.824,0.109,4,-15.715,1,0.0754,0.923,0.0997,0.229,140.01,112269,4
